"a" "b" "c" "id"
"463" 1.41128 1.25652 0 463
"464" 1.41749 0.66969 0 464
"465" 1.41949 0.69764 0 465
"466" 1.42178 0.89213 0 466
"467" 1.42291 1.87379 0 467
"468" 1.42758 0.83223 0 468
"469" 1.42802 1.76377 0 469
"470" 1.42828 1.61676 0 470
"471" 1.42861 -0.08912 0 471
"472" 1.43369 -0.22055 0 472
"473" 1.43791 1.31769 0 473
"474" 1.44087 0.48118 0 474
"475" 1.44132 1.23891 0 475
"476" 1.44219 0.21237 0 476
"477" 1.44523 0.28994 0 477
"478" 1.44539 1.26809 0 478
"479" 1.44539 0.30776 0 479
"480" 1.44643 1.89597 0 480
"481" 1.44921 -0.33478 0 481
"482" 1.45224 0.68886 0 482
"483" 1.45712 1.12053 0 483
"484" 1.45784 -0.01277 0 484
"485" 1.46132 0.60928 0 485
"486" 1.46481 1.24984 0 486
"487" 1.46563 1.32141 0 487
"488" 1.46694 0.06837 0 488
"489" 1.47996 1.6871 0 489
"490" 1.48996 1.60928 0 490
"491" 1.49113 1.82883 0 491
"492" 1.49727 1.27719 0 492
"493" 1.50331 1.87422 0 493
"494" 1.50471 0.07086 0 494
"495" 1.52183 1.03067 0 495
"496" 1.52575 0.59442 0 496
"497" 1.52959 2.11105 0 497
"498" 1.53661 0.05585 0 498
"499" 1.56058 0.52643 0 499
"500" 1.57307 -0.43593 0 500
"501" 1.57335 0.2532 0 501
"502" 1.57633 0.26569 0 502
"503" 1.57736 0.75119 0 503
"504" 1.57802 -0.07064 0 504
"505" 1.58695 0.66976 0 505
"506" 1.58866 0.96359 0 506
"507" 1.58902 1.62654 0 507
"508" 1.59435 -0.02943 0 508
"509" 1.59504 0.35539 0 509
"510" 1.6033 0.48843 0 510
"511" 1.60853 1.24613 0 511
"512" 1.6108 0.86587 0 512
"513" 1.6115 1.52619 0 513
"514" 1.6185 0.14869 0 514
"515" 1.64151 1.06067 0 515
"516" 1.65746 1.46579 0 516
"517" 1.66834 1.10476 0 517
"518" 1.6694 1.2413 0 518
"519" 1.67058 0.29855 0 519
"520" 1.68587 0.60927 0 520
"521" 1.69205 0.41494 0 521
"522" 1.69855 1.14464 0 522
"523" 1.70347 1.82976 0 523
"524" 1.70405 2.16407 0 524
"525" 1.70722 -0.19829 0 525
"526" 1.70943 1.69273 0 526
"527" 1.7347 1.26149 0 527
"528" 1.73596 1.36634 0 528
"529" 1.74144 -0.06707 0 529
"530" 1.78303 2.19797 0 530
"531" 1.78654 0.69423 0 531
"532" 1.80547 0.86724 0 532
"533" 1.81282 1.20636 0 533
"534" 1.81475 1.67474 0 534
"535" 1.81604 -0.18815 0 535
"536" 1.82156 1.52109 0 536
"537" 1.83756 1.33108 0 537
"538" 2.03087 2.26385 0 538
"539" 2.14946 0.90274 0 539
"540" 2.31661 1.98795 0 540
